Index,Actual Fair Difference,Influence Fair Difference
0,1.1711527115876308e-06,1.1556003782573401e-06
1,7.058664965067796e-05,7.004754344941695e-05
2,3.384022513630569e-05,3.375004239610796e-05
3,1.036668239307037e-06,1.0164744030359338e-06
4,1.1921364276301638e-07,1.0381880756733882e-07
5,-1.357632206294701e-05,-1.3537861853392823e-05
6,4.951898727589832e-05,4.8907095809293724e-05
7,-2.285556559372681e-06,-2.3064758692001584e-06
8,-2.662519036300548e-06,-2.662581425753016e-06
9,4.793410538717069e-06,4.724617803032074e-06
10,2.9491224223798795e-06,2.916434425377148e-06
11,1.3200948179026284e-07,8.3227631260498e-08
12,-3.141452631449937e-05,-3.139550990594225e-05
13,-7.244535979267219e-05,-7.185555445119394e-05
14,1.6392107642426712e-05,1.6310422973445058e-05
15,2.0732039099496946e-05,2.066554211046203e-05
16,-1.2423185646870394e-07,-1.335387998750049e-07
17,9.881176271209213e-06,9.728548163775177e-06
18,-9.370812079079194e-07,-9.526918945966748e-07
19,4.246479244801593e-05,4.207438000377653e-05
20,8.422236932204008e-06,8.393592312784594e-06
21,-1.903948001039102e-05,-1.899314119830836e-05
22,-1.4004761004077215e-05,-1.397171311365174e-05
23,7.230484519227254e-06,7.1626302286424124e-06
24,-4.244955098442471e-05,-4.224340113064562e-05
25,-1.6567552557633647e-07,-1.8620105523395974e-07
26,-4.0893984772943925e-05,-4.079019842014569e-05
27,-1.6396022411935274e-05,-1.6149983528884804e-05
28,-3.5354665565701104e-06,-3.5319441494017164e-06
29,2.4564272466109927e-07,2.2276242191698618e-07
30,8.466945591756314e-06,8.37510795400018e-06
31,-4.057501188378665e-05,-4.0402882187792995e-05
32,1.8601007206991982e-05,1.8557984065361867e-05
33,-5.826525674712535e-07,-5.896227323896882e-07
34,-1.6387671441797647e-06,-1.6421052069737223e-06
35,-1.409230623861113e-06,-1.413500489439532e-06
36,-5.3047689125285125e-06,-5.294674686741888e-06
37,-3.2167789387554935e-05,-3.188506069547768e-05
38,-3.986660977506329e-06,-3.976299938445945e-06
39,-4.685957009892272e-06,-4.683594687918848e-06
40,6.226690594801632e-07,6.083753997089024e-07
41,-6.412369500219395e-05,-6.403112772014545e-05
42,-5.405663938751193e-05,-5.3277813448733406e-05
43,-2.287288125141229e-05,-2.2784694680750733e-05
44,4.930228862737307e-05,4.8953731742376894e-05
45,7.088167125038347e-05,7.036142865573417e-05
46,4.192622303278437e-06,4.171953803677662e-06
47,-2.5490738670502777e-05,-2.5442687751171437e-05
48,8.20757847241893e-08,8.012575101837266e-08
49,-1.0810693323870524e-07,-1.1857680616728135e-07
50,-1.2327624292207684e-06,-1.2629489926026051e-06
51,-3.328781178540963e-05,-3.318495434391316e-05
52,-2.0469950838541973e-06,-2.0545995583676564e-06
53,3.238681671630106e-05,3.221673965543434e-05
54,1.7587473921665264e-08,-4.420108741022851e-09
